"GEO_ID","id",
"CP03_2014_021E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)",
"CP03_2014_022E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked",
"CP03_2014_023E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means",
"CP03_2014_024E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home",
"CP03_2014_025E","2014 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)",
"CP03_2014_026E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over",
"CP03_2014_027E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",
"CP03_2014_028E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations",
"CP03_2014_029E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations",
"CP03_2014_030E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",
"CP03_2014_031E","2014 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",
"CP03_2014_032E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over",
"CP03_2014_033E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",
"CP03_2014_034E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction",
"CP03_2014_035E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing",
"CP03_2014_036E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade",
"CP03_2014_037E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade",
"CP03_2014_038E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",
"CP03_2014_039E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information",
"CP03_2014_040E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",
"CP03_2014_041E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",
"CP03_2014_042E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",
"CP03_2014_043E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",
"CP03_2014_044E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",
"CP03_2014_045E","2014 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration",
"CP03_2014_046E","2014 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over",
"CP03_2014_047E","2014 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers",
"CP03_2014_048E","2014 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers",
"CP03_2014_049E","2014 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers",
"CP03_2014_050E","2014 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers",
"CP03_2014_051E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households",
"CP03_2014_052E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",
"CP03_2014_053E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",
"CP03_2014_054E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",
"CP03_2014_055E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",
"CP03_2014_056E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",
"CP03_2014_057E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",
"CP03_2014_058E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",
"CP03_2014_059E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",
"CP03_2014_060E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",
"CP03_2014_061E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",
"CP03_2014_062E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)",
"CP03_2014_063E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars)",
"CP03_2014_064E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings",
"CP03_2014_065E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars)",
"CP03_2014_066E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Social Security",
"CP03_2014_067E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Social Security!!Mean Social Security income (dollars)",
"CP03_2014_068E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With retirement income",
"CP03_2014_069E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With retirement income!!Mean retirement income (dollars)",
"CP03_2014_070E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Supplemental Security Income",
"CP03_2014_071E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)",
"CP03_2014_072E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income",
"CP03_2014_073E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With cash public assistance income!!Mean cash public assistance income (dollars)",
"CP03_2014_074E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Food Stamp/SNAP benefits in the past 12 months",
"CP03_2014_075E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families",
"CP03_2014_076E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Less than $10,000",
"CP03_2014_077E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$10,000 to $14,999",
"CP03_2014_078E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$15,000 to $24,999",
"CP03_2014_079E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$25,000 to $34,999",
"CP03_2014_080E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$35,000 to $49,999",
"CP03_2014_081E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$50,000 to $74,999",
"CP03_2014_082E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$75,000 to $99,999",
"CP03_2014_083E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$100,000 to $149,999",
"CP03_2014_084E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$150,000 to $199,999",
"CP03_2014_085E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!$200,000 or more",
"CP03_2014_086E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Median family income (dollars)",
"CP03_2014_087E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Families!!Mean family income (dollars)",
"CP03_2014_088E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Per capita income (dollars)",
"CP03_2014_089E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households",
"CP03_2014_090E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median nonfamily income (dollars)",
"CP03_2014_091E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Mean nonfamily income (dollars)",
"CP03_2014_092E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median earnings for workers (dollars)",
"CP03_2014_093E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median earnings for male full-time, year-round workers (dollars)",
"CP03_2014_094E","2014 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Nonfamily households!!Median earnings for female full-time, year-round workers (dollars)",
"CP03_2014_095E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population",
"CP03_2014_096E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage",
"CP03_2014_097E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With private health insurance",
"CP03_2014_098E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!With health insurance coverage!!With public coverage",
"CP03_2014_099E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!No health insurance coverage",
"CP03_2014_100E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population under 19 years",
"CP03_2014_101E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population under 19 years!!No health insurance coverage",
"CP03_2014_102E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years",
"CP03_2014_103E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force",
"CP03_2014_104E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed",
"CP03_2014_105E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage",
"CP03_2014_106E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With private health insurance",
"CP03_2014_107E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!With health insurance coverage!!With public coverage",
"CP03_2014_108E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Employed!!No health insurance coverage",
"CP03_2014_109E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed",
"CP03_2014_110E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage",
"CP03_2014_111E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage!!With private health insurance",
"CP03_2014_112E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!With health insurance coverage!!With public coverage",
"CP03_2014_113E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!In labor force!!Unemployed!!No health insurance coverage",
"CP03_2014_114E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force",
"CP03_2014_115E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!With health insurance coverage",
"CP03_2014_116E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!With health insurance coverage!!With private health insurance",
"CP03_2014_117E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!With health insurance coverage!!With public coverage",
"CP03_2014_118E","2014 Estimate!!HEALTH INSURANCE COVERAGE!!Civilian noninstitutionalized population!!Civilian noninstitutionalized population 19 to 64 years!!Not in labor force!!No health insurance coverage",
"CP03_2014_119E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families",
"CP03_2014_120E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!With related children of the householder under 18 years",
"CP03_2014_121E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All families!!With related children of the householder under 18 years!!With related children of the householder under 5 years only",
"CP03_2014_122E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Married couple families",
"CP03_2014_123E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Married couple families!!With related children of the householder under 18 years",
"CP03_2014_124E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Married couple families!!With related children of the householder under 18 years!!With related children of the householder under 5 years only",
"CP03_2014_125E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present",
"CP03_2014_126E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present!!With related children of the householder under 18 years",
"CP03_2014_127E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Families with female householder, no husband present!!With related children of the householder under 18 years!!With related children of the householder under 5 years only",
"CP03_2014_128E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people",
"CP03_2014_129E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years",
"CP03_2014_130E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years",
"CP03_2014_131E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder under 5 years",
"CP03_2014_132E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!Under 18 years!!Related children of the householder under 18 years!!Related children of the householder 5 to 17 years",
"CP03_2014_133E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over",
"CP03_2014_134E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!18 to 64 years",
"CP03_2014_135E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!All people!!18 years and over!!65 years and over",
"CP03_2014_136E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!People in families",
"CP03_2014_137E","2014 Estimate!!PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL!!Unrelated individuals 15 years and over",
"CP03_2015_001E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over",
"CP03_2015_002E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force",
"CP03_2015_003E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force",
"CP03_2015_004E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed",
"CP03_2015_005E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed",
"CP03_2015_006E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces",
"CP03_2015_007E","2015 Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force",
"CP03_2015_008E","2015 Estimate!!EMPLOYMENT STATUS!!Civilian labor force",
"CP03_2015_009E","2015 Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate",
"CP03_2015_010E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over",
"CP03_2015_011E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force",
"CP03_2015_012E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force",
"CP03_2015_013E","2015 Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed",
"CP03_2015_014E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years",
"CP03_2015_015E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force",
"CP03_2015_016E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years",
"CP03_2015_017E","2015 Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force",
"CP03_2015_018E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over",
"CP03_2015_019E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",
"CP03_2015_020E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",
"CP03_2015_021E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab)",
"CP03_2015_022E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked",
"CP03_2015_023E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means",
"CP03_2015_024E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked at home",
"CP03_2015_025E","2015 Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)",
"CP03_2015_026E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over",
"CP03_2015_027E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",
"CP03_2015_028E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations",
"CP03_2015_029E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations",
"CP03_2015_030E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",
"CP03_2015_031E","2015 Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",
"CP03_2015_032E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over",
"CP03_2015_033E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",
"CP03_2015_034E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction",
"CP03_2015_035E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing",
"CP03_2015_036E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade",
"CP03_2015_037E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade",
"CP03_2015_038E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",
"CP03_2015_039E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information",
"CP03_2015_040E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",
"CP03_2015_041E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",
"CP03_2015_042E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",
"CP03_2015_043E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",
"CP03_2015_044E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",
"CP03_2015_045E","2015 Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration",
"CP03_2015_046E","2015 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over",
"CP03_2015_047E","2015 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers",
"CP03_2015_048E","2015 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers",
"CP03_2015_049E","2015 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers",
"CP03_2015_050E","2015 Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers",
"CP03_2015_051E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households",
"CP03_2015_052E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",
"CP03_2015_053E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",
"CP03_2015_054E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",
"CP03_2015_055E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",
"CP03_2015_056E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",
"CP03_2015_057E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",
"CP03_2015_058E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",
"CP03_2015_059E","2015 Estimate!!INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",
